Row,Site,Date,EggIDXSec,Meso_Type,Sub_Cat_8,Total_Depth,Mid_Velocity,Data_Type,Site_Code,SQRT_Velocity,Depth_Squared,Sub_Cont_8,Sub_Cat_6,Sub_Cont_6,velocity_plus_0005,Velocity_plus_005,SQRT_Vel005,Sub_Medians_Bldfix600,SubMedians_2,SubScoreBedadjusted,SubMedianBedadjusted,RandomSite,RandomDataType,RandomDepth,RandomSQRTVEL005,RandomDepthSqrd,RandomSubScoreBedADJ,Roughness_Sqyared,RandomSubBed_6,RandomSubBed6SQRD
170,NF AMERICAN,39974,12,RAPID,6,0.54,0.87,AVAILABLE,5,0.932737905,0.2916,334,5,428,0.8705,0.875,0.935414347,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,1,CA3ADE,7,0.56,0.19,AVAILABLE,3,0.435889894,0.3136,512,5,428,0.1905,0.195,0.441588043,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,3,RUN,4,0.5,0.29,AVAILABLE,3,0.538516481,0.25,96,4,160,0.2905,0.295,0.543139025,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,6,RIFFLE,8,0.46,0.79,AVAILABLE,5,0.888819442,0.2116,600,6,800,0.7905,0.795,0.891627725,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,2,POOL,6,0.24,0.05,AVAILABLE,7,0.223606798,0.0576,334,5,428,0.0505,0.055,0.234520788,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,1,RIFFLE,6,0.75,0.67,AVAILABLE,7,0.818535277,0.5625,334,5,428,0.6705,0.675,0.821583836,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,5,RUN,8,0.44,0.13,AVAILABLE,4,0.360555128,0.1936,600,6,800,0.1305,0.135,0.367423461,600,360000,4,294,,,,,,,,,
170,MF YUBA,39966,1,CA3ADE,8,0.22,0,AVAILABLE,3,0,0.0484,600,6,800,0.0005,0.005,0.070710678,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,6,POOL,4,0.99,0.26,AVAILABLE,7,0.509901951,0.9801,96,4,160,0.2605,0.265,0.514781507,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,3,RAPID,6,0.31,0.48,AVAILABLE,6,0.692820323,0.0961,334,5,428,0.4805,0.485,0.696419414,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,10,RUN,5,0.22,0.28,AVAILABLE,4,0.529150262,0.0484,192,4,160,0.2805,0.285,0.533853913,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,12,POOL,2,0.16,0.07,AVAILABLE,2,0.264575131,0.0256,2,2,1.025,0.0705,0.075,0.273861279,1.025,1.050625,2,1.025,,,,,,,,,
170,NFMF AMERICAN,39967,10,RUN,5,0.62,0.12,AVAILABLE,4,0.346410162,0.3844,192,4,160,0.1205,0.125,0.353553391,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,10,RUN,4,0.13,0.2,AVAILABLE,7,0.447213595,0.0169,96,4,160,0.2005,0.205,0.452769257,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,10,POOL,7,0.98,0.55,AVAILABLE,3,0.741619849,0.9604,512,5,428,0.5505,0.555,0.744983221,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,5,0.58,1.11,AVAILABLE,5,1.053565375,0.3364,192,4,160,1.1105,1.115,1.055935604,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,9,RUN,7,0.55,1.87,AVAILABLE,4,1.367479433,0.3025,512,5,428,1.8705,1.875,1.369306394,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,7,RUN,8,0.94,0.59,AVAILABLE,5,0.768114575,0.8836,600,6,800,0.5905,0.595,0.771362431,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,6,0.54,1.15,AVAILABLE,5,1.072380529,0.2916,334,5,428,1.1505,1.155,1.074709263,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,13,RUN,7,0.2,0.02,AVAILABLE,6,0.141421356,0.04,512,5,428,0.0205,0.025,0.158113883,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,9,RUN,6,0.52,0.45,AVAILABLE,6,0.670820393,0.2704,334,5,428,0.4505,0.455,0.674536878,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,3,RUN,3,0.26,0.18,AVAILABLE,3,0.424264069,0.0676,31,3,32,0.1805,0.185,0.430116263,32,1024,3,32,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,4,0.57,0.9,AVAILABLE,7,0.948683298,0.3249,96,4,160,0.9005,0.905,0.95131488,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,6,0.32,0.37,AVAILABLE,7,0.608276253,0.1024,334,5,428,0.3705,0.375,0.612372436,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,5,RUN,5,0.37,0.02,AVAILABLE,6,0.141421356,0.1369,192,4,160,0.0205,0.025,0.158113883,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,3,RUN,3,0.42,0.28,AVAILABLE,3,0.529150262,0.1764,31,3,32,0.2805,0.285,0.533853913,32,1024,3,32,,,,,,,,,
170,MF FEATHER,39980,4,RIFFLE,3,0.01,0.02,AVAILABLE,2,0.141421356,0.0001,31,3,32,0.0205,0.025,0.158113883,32,1024,3,32,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,5,0.74,0.55,AVAILABLE,7,0.741619849,0.5476,192,4,160,0.5505,0.555,0.744983221,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,2,CA3ADE,6,0.08,0,AVAILABLE,3,0,0.0064,334,5,428,0.0005,0.005,0.070710678,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,3,RAPID,7,0.48,0.06,AVAILABLE,6,0.244948974,0.2304,512,5,428,0.0605,0.065,0.254950976,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,12,RAPID,4,0.08,0.01,AVAILABLE,5,0.1,0.0064,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,9,RUN,8,0.1,0.02,AVAILABLE,4,0.141421356,0.01,600,6,800,0.0205,0.025,0.158113883,600,360000,4,294,,,,,,,,,
170,NF FEATHER,39966,7,RUN,6,1.03,0.29,AVAILABLE,6,0.538516481,1.0609,334,5,428,0.2905,0.295,0.543139025,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,9,RAPID,3,0.32,0.01,AVAILABLE,3,0.1,0.1024,31,3,32,0.0105,0.015,0.122474487,32,1024,3,32,,,,,,,,,
170,RUBICON,39962,11,RUN,5,0.52,0.56,AVAILABLE,7,0.748331477,0.2704,192,4,160,0.5605,0.565,0.751664819,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,9,RAPID,7,0.1,0.03,AVAILABLE,2,0.173205081,0.01,512,5,428,0.0305,0.035,0.187082869,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,1,CA3ADE,5,0.38,0.99,AVAILABLE,3,0.994987437,0.1444,192,4,160,0.9905,0.995,0.997496867,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,6,0.46,0.55,AVAILABLE,5,0.741619849,0.2116,334,5,428,0.5505,0.555,0.744983221,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,8,POOL,8,0.63,0.19,AVAILABLE,5,0.435889894,0.3969,600,6,800,0.1905,0.195,0.441588043,600,360000,4,294,,,,,,,,,
170,NF FEATHER,39966,5,RUN,5,0.59,0.17,AVAILABLE,6,0.412310563,0.3481,192,4,160,0.1705,0.175,0.418330013,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,2,RUN,7,0.75,0,AVAILABLE,4,0,0.5625,512,5,428,0.0005,0.005,0.070710678,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,10,POOL,4,0.44,0.03,AVAILABLE,3,0.173205081,0.1936,96,4,160,0.0305,0.035,0.187082869,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,1,RUN,3,0.01,0,AVAILABLE,6,0,0.0001,31,3,32,0.0005,0.005,0.070710678,32,1024,3,32,,,,,,,,,
170,RUBICON,39962,9,RIFFLE,7,0.4,0.18,AVAILABLE,7,0.424264069,0.16,512,5,428,0.1805,0.185,0.430116263,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,1,CA3ADE,6,0.34,0.06,AVAILABLE,3,0.244948974,0.1156,334,5,428,0.0605,0.065,0.254950976,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,11,RUN,4,0.62,0.68,AVAILABLE,4,0.824621125,0.3844,96,4,160,0.6805,0.685,0.827647268,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,7,0.38,0.6,AVAILABLE,7,0.774596669,0.1444,512,5,428,0.6005,0.605,0.777817459,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,5,0.65,0.7,AVAILABLE,5,0.836660027,0.4225,192,4,160,0.7005,0.705,0.839642781,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,6,POOL,2,1,0.22,AVAILABLE,7,0.469041576,1,2,2,1.025,0.2205,0.225,0.474341649,1.025,1.050625,2,1.025,,,,,,,,,
170,NF FEATHER,39966,13,RUN,7,0.7,0.18,AVAILABLE,6,0.424264069,0.49,512,5,428,0.1805,0.185,0.430116263,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,2,POOL,7,0.52,0.37,AVAILABLE,7,0.608276253,0.2704,512,5,428,0.3705,0.375,0.612372436,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,5,0.16,0.53,AVAILABLE,5,0.728010989,0.0256,192,4,160,0.5305,0.535,0.731436942,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,7,RUN,2,0.09,0.04,AVAILABLE,6,0.2,0.0081,2,2,1.025,0.0405,0.045,0.212132034,1.025,1.050625,2,1.025,,,,,,,,,
170,NF FEATHER,39966,11,RUN,7,0.28,0,AVAILABLE,6,0,0.0784,512,5,428,0.0005,0.005,0.070710678,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,3,RUN,4,0.5,0.08,AVAILABLE,3,0.282842712,0.25,96,4,160,0.0805,0.085,0.291547595,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,10,RUN,7,0.04,0.7,AVAILABLE,4,0.836660027,0.0016,512,5,428,0.7005,0.705,0.839642781,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,6,RIFFLE,4,0.98,0.8,AVAILABLE,5,0.894427191,0.9604,96,4,160,0.8005,0.805,0.897217922,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,8,RIFFLE,4,0.38,0.33,AVAILABLE,4,0.574456265,0.1444,96,4,160,0.3305,0.335,0.578791845,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,5,0.2,0.03,AVAILABLE,5,0.173205081,0.04,192,4,160,0.0305,0.035,0.187082869,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,6,0.46,1.01,AVAILABLE,5,1.004987562,0.2116,334,5,428,1.0105,1.015,1.007472084,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,6,RAPID,8,0.64,0.01,AVAILABLE,4,0.1,0.4096,600,6,800,0.0105,0.015,0.122474487,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,6,0.12,0.37,AVAILABLE,7,0.608276253,0.0144,334,5,428,0.3705,0.375,0.612372436,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,3,RUN,7,0.2,0.04,AVAILABLE,4,0.2,0.04,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,9,RIFFLE,7,0.44,0.08,AVAILABLE,7,0.282842712,0.1936,512,5,428,0.0805,0.085,0.291547595,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,2,RUN,4,0.92,0.18,AVAILABLE,4,0.424264069,0.8464,96,4,160,0.1805,0.185,0.430116263,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,9,RAPID,7,0.34,0.33,AVAILABLE,2,0.574456265,0.1156,512,5,428,0.3305,0.335,0.578791845,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,11,POOL,8,0.78,0.19,AVAILABLE,3,0.435889894,0.6084,600,6,800,0.1905,0.195,0.441588043,600,360000,4,294,,,,,,,,,
170,MF FEATHER,39980,2,RUN,5,0.46,0.23,AVAILABLE,2,0.479583152,0.2116,192,4,160,0.2305,0.235,0.484767986,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,4,0.03,0.01,AVAILABLE,7,0.1,0.0009,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,2,RUN,7,0.72,0.63,AVAILABLE,4,0.793725393,0.5184,512,5,428,0.6305,0.635,0.796868873,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,10,POOL,4,0.1,0.94,AVAILABLE,3,0.969535971,0.01,96,4,160,0.9405,0.945,0.972111105,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,3,RUN,5,0.4,0.15,AVAILABLE,3,0.387298335,0.16,192,4,160,0.1505,0.155,0.393700394,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,10,POOL,4,0.48,0.03,AVAILABLE,3,0.173205081,0.2304,96,4,160,0.0305,0.035,0.187082869,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,8,RAPID,5,0.06,0,AVAILABLE,3,0,0.0036,192,4,160,0.0005,0.005,0.070710678,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,7,RAPID,6,0.78,0.29,AVAILABLE,4,0.538516481,0.6084,334,5,428,0.2905,0.295,0.543139025,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,7,POOL,8,0.77,,AVAILABLE,3,,0.5929,600,6,800,,,,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,11,RUN,4,0.29,0.36,AVAILABLE,7,0.6,0.0841,96,4,160,0.3605,0.365,0.604152299,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,3,RUN,5,0.56,0.81,AVAILABLE,5,0.9,0.3136,192,4,160,0.8105,0.815,0.902773504,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,2,RUN,8,0.3,0.01,AVAILABLE,2,0.1,0.09,600,6,800,0.0105,0.015,0.122474487,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,10,POOL,4,0.3,0.28,AVAILABLE,5,0.529150262,0.09,96,4,160,0.2805,0.285,0.533853913,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,7,RUN,6,0.08,0,AVAILABLE,6,0,0.0064,334,5,428,0.0005,0.005,0.070710678,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,11,RUN,5,0.92,1.01,AVAILABLE,2,1.004987562,0.8464,192,4,160,1.0105,1.015,1.007472084,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,11,RUN,3,0.32,0.6,AVAILABLE,4,0.774596669,0.1024,31,3,32,0.6005,0.605,0.777817459,32,1024,3,32,,,,,,,,,
170,NF AMERICAN,39974,10,POOL,5,0.54,0.52,AVAILABLE,5,0.721110255,0.2916,192,4,160,0.5205,0.525,0.724568837,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,1,RUN,5,0.09,0.01,AVAILABLE,6,0.1,0.0081,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,11,POOL,8,0.1,0.11,AVAILABLE,3,0.331662479,0.01,600,6,800,0.1105,0.115,0.339116499,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,8,0.64,1.15,AVAILABLE,5,1.072380529,0.4096,600,6,800,1.1505,1.155,1.074709263,600,360000,4,294,,,,,,,,,
170,NFMF AMERICAN,39967,11,RUN,5,0.65,0.71,AVAILABLE,4,0.842614977,0.4225,192,4,160,0.7105,0.715,0.845576726,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,10,POOL,3,0.15,0.28,AVAILABLE,5,0.529150262,0.0225,31,3,32,0.2805,0.285,0.533853913,32,1024,3,32,,,,,,,,,
170,NFMF AMERICAN,39967,11,RUN,6,0.42,0.03,AVAILABLE,4,0.173205081,0.1764,334,5,428,0.0305,0.035,0.187082869,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,4,RIFFLE,5,0.5,0.64,AVAILABLE,5,0.8,0.25,192,4,160,0.6405,0.645,0.80311892,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,9,POOL,4,0.12,0.02,AVAILABLE,5,0.141421356,0.0144,96,4,160,0.0205,0.025,0.158113883,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,4,RIFFLE,2,0.42,0.01,AVAILABLE,2,0.1,0.1764,2,2,1.025,0.0105,0.015,0.122474487,1.025,1.050625,2,1.025,,,,,,,,,
170,MF YUBA,39966,1,CA3ADE,7,0.1,0.73,AVAILABLE,3,0.854400375,0.01,512,5,428,0.7305,0.735,0.85732141,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,3,RUN,6,0.47,0.09,AVAILABLE,4,0.3,0.2209,334,5,428,0.0905,0.095,0.3082207,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,11,RUN,4,0.43,0.34,AVAILABLE,7,0.583095189,0.1849,96,4,160,0.3405,0.345,0.587367006,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,5,0.12,0.17,AVAILABLE,7,0.412310563,0.0144,192,4,160,0.1705,0.175,0.418330013,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,5,POOL,4,0.08,0.01,AVAILABLE,3,0.1,0.0064,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,9,POOL,4,0.05,0,AVAILABLE,5,0,0.0025,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,1,RIFFLE,5,0.19,0.42,AVAILABLE,7,0.64807407,0.0361,192,4,160,0.4205,0.425,0.651920241,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,4,RIFFLE,6,0.08,0.04,AVAILABLE,2,0.2,0.0064,334,5,428,0.0405,0.045,0.212132034,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,2,CA3ADE,5,0.57,0.91,AVAILABLE,3,0.953939201,0.3249,192,4,160,0.9105,0.915,0.956556323,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,2,RAPID,6,0.45,1.49,AVAILABLE,5,1.220655562,0.2025,334,5,428,1.4905,1.495,1.222701926,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,2,RAPID,7,0.4,0.02,AVAILABLE,5,0.141421356,0.16,512,5,428,0.0205,0.025,0.158113883,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,5,0.19,0.18,AVAILABLE,7,0.424264069,0.0361,192,4,160,0.1805,0.185,0.430116263,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,1,RAPID,5,0.32,0.7,AVAILABLE,5,0.836660027,0.1024,192,4,160,0.7005,0.705,0.839642781,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,3,RUN,6,0.3,1.04,AVAILABLE,5,1.019803903,0.09,334,5,428,1.0405,1.045,1.022252415,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,9,RUN,7,0.59,0.5,AVAILABLE,6,0.707106781,0.3481,512,5,428,0.5005,0.505,0.71063352,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,6,0.78,0.55,AVAILABLE,5,0.741619849,0.6084,334,5,428,0.5505,0.555,0.744983221,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,3,RIFFLE,4,0.16,0.24,AVAILABLE,2,0.489897949,0.0256,96,4,160,0.2405,0.245,0.494974747,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,11,RUN,3,0.6,0,AVAILABLE,6,0,0.36,31,3,32,0.0005,0.005,0.070710678,32,1024,3,32,,,,,,,,,
170,MF YUBA,39966,5,POOL,3,0.63,0.27,AVAILABLE,3,0.519615242,0.3969,31,3,32,0.2705,0.275,0.524404424,32,1024,3,32,,,,,,,,,
170,RUBICON,39962,6,POOL,4,1,0.26,AVAILABLE,7,0.509901951,1,96,4,160,0.2605,0.265,0.514781507,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,3,RUN,6,0.62,1.25,AVAILABLE,5,1.118033989,0.3844,334,5,428,1.2505,1.255,1.120267825,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,5,RUN,7,0.08,0.01,AVAILABLE,2,0.1,0.0064,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,6,0.37,0.23,AVAILABLE,7,0.479583152,0.1369,334,5,428,0.2305,0.235,0.484767986,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,3,RUN,7,0.26,1.04,AVAILABLE,4,1.019803903,0.0676,512,5,428,1.0405,1.045,1.022252415,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,1,RIFFLE,6,0.46,0.96,AVAILABLE,7,0.979795897,0.2116,334,5,428,0.9605,0.965,0.982344135,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,11,RUN,5,0.4,0.32,AVAILABLE,7,0.565685425,0.16,192,4,160,0.3205,0.325,0.570087713,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,3,RIFFLE,6,0.12,0,AVAILABLE,2,0,0.0144,334,5,428,0.0005,0.005,0.070710678,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,7,RUN,6,0.82,0.18,AVAILABLE,6,0.424264069,0.6724,334,5,428,0.1805,0.185,0.430116263,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,7,0.96,0.96,AVAILABLE,7,0.979795897,0.9216,512,5,428,0.9605,0.965,0.982344135,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,10,RUN,7,0.1,0.66,AVAILABLE,4,0.81240384,0.01,512,5,428,0.6605,0.665,0.815475322,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,5,0.34,0.22,AVAILABLE,7,0.469041576,0.1156,192,4,160,0.2205,0.225,0.474341649,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,9,RAPID,4,0.22,0.22,AVAILABLE,2,0.469041576,0.0484,96,4,160,0.2205,0.225,0.474341649,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,5,0.31,0.25,AVAILABLE,7,0.5,0.0961,192,4,160,0.2505,0.255,0.504975247,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,9,RIFFLE,7,0.14,1.06,AVAILABLE,7,1.029563014,0.0196,512,5,428,1.0605,1.065,1.031988372,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,1,RAPID,5,0.44,1.29,AVAILABLE,5,1.135781669,0.1936,192,4,160,1.2905,1.295,1.137980668,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,7,RAPID,8,0.48,0.05,AVAILABLE,4,0.223606798,0.2304,600,6,800,0.0505,0.055,0.234520788,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,6,POOL,6,0.84,0.14,AVAILABLE,7,0.374165739,0.7056,334,5,428,0.1405,0.145,0.380788655,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,12,POOL,8,0.26,0.04,AVAILABLE,2,0.2,0.0676,600,6,800,0.0405,0.045,0.212132034,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,2,POOL,5,0.32,0.39,AVAILABLE,7,0.6244998,0.1024,192,4,160,0.3905,0.395,0.628490254,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,11,POOL,5,0.97,0.15,AVAILABLE,3,0.387298335,0.9409,192,4,160,0.1505,0.155,0.393700394,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,3,RUN,8,0.3,0.2,AVAILABLE,3,0.447213595,0.09,600,6,800,0.2005,0.205,0.452769257,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,9,POOL,3,0.6,0.1,AVAILABLE,5,0.316227766,0.36,31,3,32,0.1005,0.105,0.324037035,32,1024,3,32,,,,,,,,,
170,MF FEATHER,39980,13,POOL,8,0.6,0.11,AVAILABLE,2,0.331662479,0.36,600,6,800,0.1105,0.115,0.339116499,600,360000,4,294,,,,,,,,,
170,MF YUBA,39966,10,POOL,3,0.5,0.02,AVAILABLE,3,0.141421356,0.25,31,3,32,0.0205,0.025,0.158113883,32,1024,3,32,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,8,0.23,0.02,AVAILABLE,7,0.141421356,0.0529,600,6,800,0.0205,0.025,0.158113883,600,360000,4,294,,,,,,,,,
170,MF YUBA,39966,1,CA3ADE,7,0.42,1.22,AVAILABLE,3,1.104536102,0.1764,512,5,428,1.2205,1.225,1.106797181,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,3,RAPID,6,0.14,0.08,AVAILABLE,6,0.282842712,0.0196,334,5,428,0.0805,0.085,0.291547595,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,6,RUN,8,0.01,,AVAILABLE,2,,0.0001,600,6,800,,,,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,2,POOL,5,0.41,0.49,AVAILABLE,7,0.7,0.1681,192,4,160,0.4905,0.495,0.703562364,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,5,0.04,0.08,AVAILABLE,7,0.282842712,0.0016,192,4,160,0.0805,0.085,0.291547595,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,13,RUN,6,0.58,0.16,AVAILABLE,6,0.4,0.3364,334,5,428,0.1605,0.165,0.40620192,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,8,POOL,2,0.08,0.02,AVAILABLE,7,0.141421356,0.0064,2,2,1.025,0.0205,0.025,0.158113883,1.025,1.050625,2,1.025,,,,,,,,,
170,MF FEATHER,39980,2,RUN,7,0.36,0.06,AVAILABLE,2,0.244948974,0.1296,512,5,428,0.0605,0.065,0.254950976,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,4,RUN,7,0.24,0.1,AVAILABLE,3,0.316227766,0.0576,512,5,428,0.1005,0.105,0.324037035,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,13,RUN,7,0.42,0.02,AVAILABLE,6,0.141421356,0.1764,512,5,428,0.0205,0.025,0.158113883,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,2,CA3ADE,5,0.19,0.16,AVAILABLE,3,0.4,0.0361,192,4,160,0.1605,0.165,0.40620192,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,5,0.53,0.69,AVAILABLE,5,0.830662386,0.2809,192,4,160,0.6905,0.695,0.8336666,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,9,RAPID,6,0.68,0.73,AVAILABLE,3,0.854400375,0.4624,334,5,428,0.7305,0.735,0.85732141,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,12,POOL,8,0.1,0.01,AVAILABLE,2,0.1,0.01,600,6,800,0.0105,0.015,0.122474487,600,360000,4,294,,,,,,,,,
170,NF FEATHER,39966,9,RUN,5,0.34,0.01,AVAILABLE,6,0.1,0.1156,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,4,RUN,4,0.08,0,AVAILABLE,3,0,0.0064,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,,,,,,,,,
